"storage-client-fcoe","FCoE ストレージクライアント","イーサネット上ファイバーチャンネル（FCoE）のサポート"
"mysql","MySQL データベースサーバー","MySQL の SQL データベースサーバーと関連パッケージ"
"mysql-client","MySQL データベースクライアント","MySQL の SQL データベースクライアントと関連パッケージ"
"nepali-support","ネパール語のサポート",""
"network-file-system-client","ネットワークファイルシステムクライアント","システムがネットワークストレージに接続できるようにします。"
"network-server","ネットワークインフラストラクチャサーバー","DHCP や DNS などコアネットワークプロトコルやサービスのサーバーです。"
"network-tools","ネットワーキングツール","コンピュータネットワークを設定し分析するためのツール"
"nfs-file-server","NFS ファイルサーバー","NFS ファイルサーバー"
"northern-sotho-support","北ソト語のサポート",""
"norwegian-support","ノルウェー語のサポート",""
"occitan-support","ロクシタン語のサポート",""
"office-suite","オフィススイートと生産性","全目的対応のオフィススイートおよびその他生産性ツール"
"openafs-client","",""
"oriya-support","オリヤー語のサポート",""
"performance","パフォーマンスツール","システムおよびアプリケーションレベルのパフォーマンス問題を分析するツールです。"

"persian-support","ペルシア語のサポート",""
"php","PHP サポート","PHP Web アプリケーションフレームワーク。"
"polish-support","ポーランド語のサポート",""
"portuguese-support","ポルトガル語のサポート",""
"postgresql","PostgreSQL データベースサーバー","PostgreSQL の SQL データベースサーバーと関連パッケージ"
"postgresql-client","PostgreSQL データベースクライアント","PostgreSQL の SQL データベースクライアントと関連パッケージ"
"print-client","印刷クライアント","ローカルのプリンタやリモートプリントサーバーへ印刷するためのツールです。"
"print-server","プリントサーバー","システムがプリントサーバーとして機能できるようにします。"
"punjabi-support","パンジャブ語のサポート",""
"remote-desktop-clients","リモートデスクトップクライアント",""
"repos","",""
"romanian-support","ルーマニア語のサポート",""
"russian-support","ロシア語のサポート",""
"sanskrit-support","サンスクリット語のサポート",""
"sardinian-support","サルディニア語のサポート",""
"scalable-file-systems","拡張性ファイルシステム","大型で高度にスケーラブルなファイルシステムのサポートです。"
"scientific","科学的なサポート","数学的計算や科学的計算、並列計算のツールです。"
"security-tools","セキュリティツール","整合性や信用を検証するセキュリティツール"
"serbian-support","セルビア語のサポート",""
"server-platform","サーバープラットフォーム","Scientific Linux Server Platform のサポート対象ライブラリです。"
"server-platform-devel","サーバープラットフォーム開発","Scientific Linux Server Platform 上で実行するアプリケーションを開発するための開発ヘッダおよびライブラリ"
"sindhi-support","シンド語のサポート",""
"sinhala-support","シンハラ語のサポート",""
"slovak-support","スロバキア語のサポート",""
"slovenian-support","スロベニア語のサポート",""
"smart-card","スマートカードのサポート","スマートカード認証の使用に対するサポートです。"
"somali-support","ソマリ語のサポート",""
"southern-ndebele-support","ヌデベレ語のサポート",""
"southern-sotho-support","南部ソト語のサポート",""
"spanish-support","スペイン語のサポート",""
"spins","",""

"storage-client-multipath","ストレージ可用性ツール","SAN のパスの可用性を管理する為のツールセット"
"storage-server","ネットワークストレージサーバー","iSCSI、iSER、 iSNS ネットワークストレージサーバーです。"
"swahili-support","スワヒリ語のサポート",""
"swati-support","スワチ語のサポート",""
"swedish-support","スウェーデン語のサポート",""
"system-admin-tools","システム管理ツール","システム管理に便利なユーティリティです。"
"system-management","システム管理","多様な低レベルハードウェア管理フレームワークです。"
"system-management-messaging-client","メッセージングクライアントのサポート","システム管理の為の AMQP メッセージングクライアント"
"system-management-messaging-server","メッセージングサーバーのサポート","システム管理の為の AMQP メッセージングブローカ"
"system-management-snmp","SNMP サポート","SNMP 管理エージェント"
"system-management-wbem","WBEM サポート","Scientific Linux の WBEM インターフェイス"
"tagalog-support","タガログ語のサポート",""
"tajik-support","タジク語のサポート",""
"tamil-support","タミール語のサポート",""
"technical-writing","技術文書","技術文書を書くためのツールです。"
"telugu-support","テルグ語のサポート",""
"tetum-support","テトゥン語のサポート",""
"tex","TeX のサポート","TeX 文書フォーマットシステムのサポートです。"
"thai-support","タイ語のサポート",""
"tibetan-support","チベット語のサポート",""
"tsonga-support","ソンガス語のサポート",""
"tswana-support","ツワナ語のサポート",""
"turbogears","TurboGears アプリケーションフレームワーク","TurboGears Web アプリケーションフレームワーク"
"turkish-support","トルコ語のサポート",""
"turkmen-support","トルクメン語のサポート",""
"ukrainian-support","ウクライナ語のサポート",""
"upper-sorbian-support","高地ソルブ語のサポート",""
"urdu-support","ウルドゥー語のサポート",""
"uzbek-support","ウズベク語のサポート",""
"venda-support","ベンダ語のサポート",""
"vietnamese-support","ベトナム語のサポート",""
"virtualization","仮想化","仮想化ゲストをホストする環境を提供します。"
"virtualization-client","仮想化クライアント","仮想化インスタンスをインストールし管理するためのクライアント"
"virtualization-platform","仮想化プラットフォーム","仮想化ゲストとコンテナへアクセスしたり制御するためのインターフェースを提供します。"
"virtualization-tools","仮想化ツール","オフラインの仮想イメージ管理のためのツールです。"
"walloon-support","ワロン語のサポート",""
"web-server","Web サーバー","システムが Web サーバとして機能し、Perl や Python Web アプリケーションを実行できるようにします。"
"web-servlet","Web サーブレットエンジン","システムが Java サーブレットをホストできるようにします。"
"welsh-support","ウェールズ語のサポート",""
"x11","X Window System","X Window システムのサポート"
"xhosa-support","コサ語のサポート",""
"zulu-support","ズールー語のサポート",""
