"esperanto-support","エスペラント語のサポート",""
"estonian-support","エストニア語のサポート",""
"ethiopic-support","エチオピア語のサポート",""
"faroese-support","フェロー語のサポート",""
"fijian-support","フィジー語のサポート",""
"filipino-support","フィリピン語のサポート",""
"finnish-support","フィンランド語のサポート",""
"fonts","フォント","異なる言語やスクリプトにテキストをレンダリングするためのフォント"
"french-support","フランス語のサポート",""
"frisian-support","フリジア語のサポート",""
"friulian-support","フリウリ語のサポート",""

"gaelic-support","ゲール語のサポート",""
"galician-support","ガリシア語のサポート",""
"general-desktop","汎用デスクトップ（GNOMEデスクトップ）","GNOME デスクトップ"
"georgian-support","グルジア語のサポート",""
"german-support","ドイツ語のサポート",""
"graphical-admin-tools","グラフィカル管理ツール","システムの多くの側面を管理するためのグラフィカルなシステム管理ツール"
"graphics","グラフィックスツール","静止画像の作成や修正を行うためのソフトウェアです。"
"greek-support","ギリシャ語のサポート",""
"gujarati-support","グジャラート語のサポート",""

"hebrew-support","ヘブライ語のサポート",""
"hiligaynon-support","ヒリガイノン語のサポート",""
"hindi-support","ヒンディー語のサポート",""
"hungarian-support","ハンガリー語のサポート",""
"icelandic-support","アイスランド語のサポート",""

"indonesian-support","インドネシア語のサポート",""

"input-methods","入力メソッド","国際的なテキストを入力するためのソフトウェアです。"
"interlingua-support","インターリングア語のサポート",""
"internet-browser","インターネットブラウザ","Firefox Web ブラウザ"
"inuktitut-support","イヌクティトゥト語のサポート",""
"irish-support","アイルランド語のサポート",""
"italian-support","イタリア語のサポート",""
"japanese-support","日本語のサポート",""

"kannada-support","カンナダ語のサポート",""
"kashmiri-support","カシミール語のサポート",""
"kashubian-support","カシューブ語のサポート",""
"kazakh-support","カザフ語のサポート",""
"kde-desktop","KDE デスクトップ","KDE デスクトップ"
"khmer-support","クメール語のサポート",""
"kinyarwanda-support","ルワンダ語のサポート",""
"konkani-support","コンカニ語のサポート",""
"korean-support","韓国語のサポート",""
"kurdish-support","クルド語のサポート",""
"lao-support","ラオ語のサポート",""

"latin-support","ラテン語のサポート",""
"latvian-support","ラトビア語のサポート",""

"legacy-x","レガシー X Windows システムの互換性","レガシー X Windows システム環境の使用やこの環境からの移行するための互換性プログラム"
"lithuanian-support","リトアニア語のサポート",""
"low-saxon-support","低ザクセン語のサポート",""
"luxembourgish-support","ルクセンブルグ語のサポート",""
"macedonian-support","マケドニア語のサポート",""


"maithili-support","マイチリ語のサポート",""
"malagasy-support","マダガスカル語のサポート",""
"malay-support","マレー語のサポート",""
"malayalam-support","マラヤーラム語のサポート",""
"maltese-support","マルタ語のサポート",""
"manx-support","マン島語のサポート",""
"maori-support","マオリ語のサポート",""
"marathi-support","マラーティー語のサポート",""
"mongolian-support","モンゴル語のサポート",""
"mysql","MySQL データベースサーバー","MySQL データベースサーバーと関連パッケージ"
"mysql-client","MySQL データベース接続クライアント","MySQL データベース接続クライアントと関連パッケージ"
"nepali-support","ネパール語のサポート",""




"northern-sotho-support","北ソト語のサポート",""
"norwegian-support","ノルウェー語のサポート",""
"occitan-support","ロクシタン語のサポート",""
"oriya-support","オリヤー語のサポート",""


"persian-support","ペルシア語のサポート",""

"polish-support","ポーランド語のサポート",""
"portuguese-support","ポルトガル語のサポート",""
"postgresql","PostgreSQL データベースサーバー","PostgreSQL データベースサーバーと関連パッケージ"
"postgresql-client","PostgreSQL データベース接続クライアント","PostgreSQL データベース接続クライアントと関連パッケージ"


"punjabi-support","パンジャブ語のサポート",""
"remote-desktop-clients","リモートデスクトップ接続クライアント",""
"romanian-support","ルーマニア語のサポート",""
"russian-support","ロシア語のサポート",""
"sanskrit-support","サンスクリット語のサポート",""
"sardinian-support","サルディニア語のサポート",""


"serbian-support","セルビア語のサポート",""

"server-platform-devel","サーバープラットフォーム開発","Red Hat Enterprise Linux Server Platform 上で実行するアプリケーションを開発するためのヘッダファイルおよびライブラリ"
"server-policy","サーバーポリシー","サーバーの変種用ポリシーパッケージ"
"sindhi-support","シンド語のサポート",""
"sinhala-support","シンハラ語のサポート",""
"slovak-support","スロバキア語のサポート",""
"slovenian-support","スロベニア語のサポート",""

"somali-support","ソマリ語のサポート",""
"southern-ndebele-support","ヌデベレ語のサポート",""
"southern-sotho-support","南部ソト語のサポート",""
"spanish-support","スペイン語のサポート",""



"storage-server","ネットワークストレージサーバー","iSCSI、iSER、 iSNS ネットワークストレージサーバーです。"
"swahili-support","スワヒリ語のサポート",""
"swati-support","スワチ語のサポート",""
"swedish-support","スウェーデン語のサポート",""

"system-management","システム管理","多様な低レベルハードウェア管理フレームワークです。"
"system-management-messaging-client","メッセージング接続クライアントのサポート","システム管理のための AMQP メッセージング接続クライアント"
"system-management-messaging-server","システム管理 Messaging Server のサポート","システム管理用のメッセージングブローカー。"
"system-management-snmp","SNMP サポート","SNMP 管理エージェント"
"system-management-wbem","WBEM サポート","Red Hat Enterprise Linux の WBEM インターフェイス"
"tagalog-support","タガログ語のサポート",""
"tajik-support","タジク語のサポート",""
"tamil-support","タミール語のサポート",""
"technical-writing","技術文書","技術文書を書くためのツールです。"
"telugu-support","テルグ語のサポート",""
"tetum-support","テトゥン語のサポート",""
"tex","TeX のサポート","TeX 文書フォーマットシステムのサポートです。"
"thai-support","タイ語のサポート",""
"tibetan-support","チベット語のサポート",""
"tsonga-support","ソンガス語のサポート",""
"tswana-support","ツワナ語のサポート",""
"turbogears","TurboGears アプリケーションフレームワーク","TurboGears Web アプリケーションフレームワーク"
"turkish-support","トルコ語のサポート",""
"turkmen-support","トルクメン語のサポート",""
"ukrainian-support","ウクライナ語のサポート",""
"upper-sorbian-support","高地ソルブ語のサポート",""
"urdu-support","ウルドゥー語のサポート",""
"uzbek-support","ウズベク語のサポート",""
"venda-support","ベンダ語のサポート",""
"vietnamese-support","ベトナム語のサポート",""
"virtualization","仮想化","仮想化ゲストをホストする環境を提供します。"
"virtualization-client","仮想化クライアント","仮想化マシンへOSをインストールしたり管理するための接続クライアント"
"virtualization-platform","仮想化プラットフォーム","仮想化ゲストやコンテナへアクセスしたり制御するためのインターフェースを提供します。"
"virtualization-tools","仮想化ツール","停止中の仮想マシンのディスクイメージを操作するためのツールです。"
"walloon-support","ワロン語のサポート",""
"web-server","Web サーバー","システムが Web サーバとして機能し、Perl や Python Web アプリケーションを実行できるようにします。"
"web-servlet","Web サーブレットエンジン","システムが Java サーブレットをホストできるようにします。"
"welsh-support","ウェールズ語のサポート",""
"x11","X Window System","X Window システムのサポート"
"xhosa-support","コサ語のサポート",""
"zulu-support","ズールー語のサポート",""
